2022-08-26T13:31:47.118Z	[35mDEBUG[0m	huashu3/main.go:32	LaLa
2022-08-26T13:31:52.674Z	[35mDEBUG[0m	huashu3/main.go:32	LaLa
2022-08-26T13:32:02.004Z	[34mINFO[0m	logger/logger.go:66	/static/word/	{"status": 200, "method": "GET", "path": "/static/word/", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.004596877}
2022-08-26T13:32:02.156Z	[34mINFO[0m	logger/logger.go:66	/static/word/js/index.9bdc5042.js	{"status": 200, "method": "GET", "path": "/static/word/js/index.9bdc5042.js", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.000245953}
2022-08-26T13:32:02.159Z	[34mINFO[0m	logger/logger.go:66	/static/word/css/chunk-vendors.a16c4353.css	{"status": 200, "method": "GET", "path": "/static/word/css/chunk-vendors.a16c4353.css", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.000337937}
2022-08-26T13:32:02.166Z	[34mINFO[0m	logger/logger.go:66	/static/word/js/chunk-vendors.59e433bf.js	{"status": 200, "method": "GET", "path": "/static/word/js/chunk-vendors.59e433bf.js", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.000903893}
2022-08-26T13:32:02.250Z	[34mINFO[0m	logger/logger.go:66	/static/word/css/index.d0bb6539.css	{"status": 200, "method": "GET", "path": "/static/word/css/index.d0bb6539.css", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.000230704}
2022-08-26T13:32:07.810Z	[34mINFO[0m	logger/logger.go:66	/static/word/fonts/element-icons.535877f5.woff	{"status": 200, "method": "GET", "path": "/static/word/fonts/element-icons.535877f5.woff", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.000229443}
2022-08-26T13:32:08.439Z	[34mINFO[0m	logger/logger.go:66	/static/word/favicon.ico	{"status": 200, "method": "GET", "path": "/static/word/favicon.ico", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.00016988}
2022-08-26T13:32:22.408Z	[35mDEBUG[0m	huashu3/main.go:32	LaLa
2022-08-26T13:33:39.590Z	[34mINFO[0m	logger/logger.go:66	/static/word/	{"status": 200, "method": "GET", "path": "/static/word/", "query": "", "ip": "103.77.192.80", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54", "errors": "", "cost": 0.00012698}
2022-08-26T14:18:27.967Z	[34mINFO[0m	logger/logger.go:66	/static/info/	{"status": 200, "method": "GET", "path": "/static/info/", "query": "", "ip": "149.154.161.245", "user-agent": "TelegramBot (like TwitterBot)", "errors": "", "cost": 0.000977}
